countryCode,countryName,countryDescription,regionId,gencCode
1,EUROPEAN,EUROPEAN UNION - 27           ,1,
2,UNKNOWN,UNKNOWN,99,AX1
1010,GREENLD ,GREENLAND                      ,11,GRL
1220,CANADA  ,CANADA                         ,11,CAN
1610,MIGUEL  ,ST. PIERRE AND MIQUELON        ,11,
2010,MEXICO  ,MEXICO                         ,11,MEX
2050,GUATMAL ,GUATEMALA                      ,11,GTM
2080,BELIZE  ,BELIZE                         ,11,BLZ
2110,SALVADR ,EL SALVADOR                    ,11,SLV
2150,HONDURA ,HONDURAS                       ,11,HND
2190,NICARAG ,NICARAGUA                      ,11,NIC
2230,C RICA  ,COSTA RICA                     ,11,CRI
2250,PANAMA  ,PANAMA                         ,11,PAN
2270,CANAL Z ,PANAMA CANAL ZONE              ,11,
2320,BERMUDA ,BERMUDA                        ,11,BMU
2360,BAHAMAS ,"BAHAMAS, THE                   ",11,BHS
2390,CUBA    ,CUBA                           ,11,CUB
2410,JAMAICA ,JAMAICA                        ,11,JAM
2430,TURK IS ,TURKS AND CAICOS ISLANDS       ,11,TCA
2440,CAYMAN  ,CAYMAN ISLANDS                 ,11,CYM
2450,HAITI   ,HAITI                          ,11,HTI
2470,DOM REP ,DOMINICAN REPUBLIC             ,11,DOM
2480,LW WW I ,LEEWARD-WINDWARD ISLANDS       ,11,
2720,BARBADO ,BARBADOS                       ,11,BRB
2740,TRINID  ,TRINIDAD AND TOBAGO            ,11,TTO
2770,N ANTIL ,NETHERLANDS ANTILLES           ,11,
2830,F W IND ,FRENCH WEST INDIES             ,11,
3010,COLOMB  ,COLOMBIA                       ,11,COL
3070,VENEZ   ,VENEZUELA                      ,11,VEN
3120,GUYANA  ,GUYANA                         ,11,GUY
3150,SURINAM ,SURINAM                        ,11,
3170,F GUIAN ,FRENCH GUIANA                  ,11,GUF
3310,ECUADOR ,ECUADOR                        ,11,ECU
3330,PERU    ,PERU                           ,11,PER
3350,BOLIVIA ,BOLIVIA                        ,11,BOL
3370,CHILE   ,CHILE                          ,11,CHL
3510,BRAZIL  ,BRAZIL                         ,11,BRA
3530,PARAGUA ,PARAGUAY                       ,11,PRY
3550,URUGUAY ,URUGUAY                        ,11,URY
3570,ARGENT  ,ARGENTINA                      ,11,ARG
3720,FALK IS ,FALKLAND ISLANDS (ISLAS MALVIN),11,
4000,ICELAND ,ICELAND                        ,2,ISL
4010,SWEDEN  ,SWEDEN                         ,1,SWE
4030,NORWAY  ,NORWAY                         ,2,NOR
4050,FINLAND ,FINLAND                        ,1,FIN
4090,DENMARK ,DENMARK                        ,1,DNK
4120,U KING  ,UNITED KINGDOM                 ,1,GBR
4190,IRELAND ,IRELAND                        ,1,IRL
4210,NETHLDS ,NETHERLANDS                    ,1,NLD
4230,BELGIUM ,BELGIUM-LUXEMBOURG             ,1,BEL
4270,FRANCE  ,FRANCE                         ,1,FRA
4280,GERMANY ,GERMANY                        ,1,DEU
4290,GERM DR ,GERMAN DEMOCRATIC REPUBLIC     ,1,
4330,AUSTRIA ,AUSTRIA                        ,1,AUT
4350,CZECHO  ,CZECHOSLOVAKIA                 ,1,
4351,CZECH RE,CZECH REPUBLIC                 ,1,CZE
4359,SLOVAKIA,SLOVAKIA                       ,1,SVK
4370,HUNGARY ,HUNGARY                        ,1,HUN
4410,SWITZLD ,SWITZERLAND                    ,2,CHE
4461,FSU-12  ,FORMER SOVIET UNION            ,4,
4470,ESTONIA ,ESTONIA                        ,1,EST
4490,LATVIA  ,LATVIA                         ,1,LVA
4510,LITHUAN ,LITHUANIA                      ,1,LTU
4550,POLAND  ,POLAND                         ,1,POL
4621,RUSSIA  ,RUSSIAN FEDERATION             ,4,RUS
4622,BELARUS ,"BYELARUS, REPUBLIC OF          ",4,BLR
4623,UKRAINE ,UKRAINE                        ,4,UKR
4631,ARMENIA ,"ARMENIA, REPUBLIC OF           ",4,ARM
4632,AZERBJN ,"AZERBAIJAN, REPUBLIC OF        ",4,
4633,GEORGIA ,"GEORGIA, REPUBLIC OF           ",4,GEO
4634,KAZAKHS ,"KAZAKHSTAN, REPUBLIC OF        ",4,
4635,KYRGYZS ,"KYRGYZSTAN, REPUBLIC OF        ",4,
4641,MOLDOVA ,"MOLDOVA, REPUBLIC OF           ",4,MDA
4642,TAJIKIS ,"TAJIKISTAN, REPUBLIC OF        ",4,
4643,TURKMEN ,TURKMENISTAN                   ,4,TKM
4644,UZBEKIS ,"UZBEKISTAN, REPUBLIC OF        ",4,
4670,AZORES  ,AZORES                         ,2,
4700,SPAIN   ,SPAIN                          ,1,ESP
4710,PORTUGL ,PORTUGAL                       ,1,PRT
4720,GIBRALT ,GIBRALTAR                      ,2,GIB
4730,MALTA   ,MALTA & GOZO                   ,1,MLT
4750,ITALY   ,ITALY                          ,1,ITA
4791,CROATIA ,CROATIA                        ,2,HRV
4792,SLOVENIA,SLOVENIA                       ,1,SVN
4793,BOSNIA  ,BOSNIA-HERCEGOVINA             ,2,
4794,MACEDON ,MACEDONIA (SKOPJE)             ,2,
4799,YUGOSLV ,YUGOSLAVIA                     ,2,
4810,ALBANIA ,ALBANIA                        ,2,ALB
4840,GREECE  ,GREECE                         ,1,GRC
4850,ROMANIA ,ROMANIA                        ,1,ROU
4870,BULGAR  ,BULGARIA                       ,1,BGR
4890,TURKEY  ,TURKEY                         ,2,TUR
4910,CYPRUS  ,CYPRUS                         ,1,CYP
5020,SYRIA   ,SYRIA                          ,9,SYR
5040,LEBANON ,LEBANON                        ,9,LBN
5050,IRAQ    ,IRAQ                           ,9,IRQ
5070,IRAN    ,IRAN                           ,9,IRN
5080,ISRAEL  ,ISRAEL                         ,9,ISR
5110,JORDAN  ,JORDAN                         ,9,JOR
5120,GAZA ST ,GAZA STRIP                     ,9,
5130,KUWAIT  ,KUWAIT                         ,9,KWT
5170,S ARAB  ,SAUDI ARABIA                   ,9,SAU
5180,QATAR   ,QATAR                          ,9,QAT
5200,U AR EM ,UNITED ARAB EMIRATES           ,9,ARE
5210,YEMEN   ,YEMEN                          ,9,YEM
5220,S YEMEN ,YEMEN (ADEN)                   ,9,
5230,OMAN    ,OMAN                           ,9,OMN
5250,BAHRAIN ,BAHRAIN                        ,9,BHR
5310,AFGHAN  ,AFGHANISTAN                    ,9,AFG
5330,INDIA   ,INDIA                          ,8,IND
5350,PAKISTN ,PAKISTAN                       ,9,PAK
